epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.226,2.97152,4.21114,2.68845,0.30436,0.39785,0.23377,0.09553,4.23909,43.5557,5.00055,0.000661765,0.000661765,0.000661765
2,241.32,3.129,2.45834,2.75579,0.73658,0.5745,0.65089,0.3359,3.51678,6.23956,3.45995,0.00131528,0.00131528,0.00131528
3,346.646,3.09807,2.23946,2.73096,0.76089,0.59601,0.68989,0.40736,3.1638,6.12461,3.17533,0.0019556,0.0019556,0.0019556
4,451.51,2.98645,2.06711,2.67784,0.8381,0.72362,0.79996,0.49398,2.8773,2.89608,2.81384,0.0019406,0.0019406,0.0019406
5,556.384,2.88534,1.85108,2.59756,0.90344,0.7617,0.85793,0.51542,2.92615,1.80597,2.75433,0.0019208,0.0019208,0.0019208
6,661.17,2.84289,1.8398,2.60199,0.88248,0.74808,0.83842,0.53467,2.7209,1.97739,2.65671,0.001901,0.001901,0.001901
7,765.982,2.79111,1.7485,2.55843,0.93968,0.76573,0.86692,0.53014,2.83248,1.77717,2.65581,0.0018812,0.0018812,0.0018812
8,870.602,2.79607,1.66996,2.55977,0.86686,0.84485,0.88934,0.55624,2.71076,1.64292,2.58783,0.0018614,0.0018614,0.0018614
9,975.357,2.78181,1.65583,2.51329,0.83823,0.79595,0.86122,0.54263,2.69347,1.94236,2.59735,0.0018416,0.0018416,0.0018416
10,1079.86,2.73479,1.6252,2.54361,0.89426,0.75346,0.86443,0.54788,2.69727,1.62508,2.58142,0.0018218,0.0018218,0.0018218
11,1184.33,2.67666,1.54545,2.51074,0.90172,0.80492,0.89253,0.57212,2.61787,1.51605,2.51163,0.001802,0.001802,0.001802
12,1289,2.67078,1.47597,2.47993,0.91652,0.80951,0.89454,0.56528,2.65618,1.76656,2.58405,0.0017822,0.0017822,0.0017822
13,1393.48,2.63814,1.45489,2.49103,0.90873,0.82949,0.90493,0.58664,2.58388,1.34927,2.51582,0.0017624,0.0017624,0.0017624
14,1498.12,2.59891,1.42551,2.47781,0.88331,0.80338,0.88595,0.57051,2.609,1.46018,2.51748,0.0017426,0.0017426,0.0017426
15,1602.54,2.60987,1.42849,2.48153,0.8668,0.78955,0.86183,0.5508,2.75933,1.63209,2.60602,0.0017228,0.0017228,0.0017228
16,1706.92,2.58396,1.39146,2.45186,0.911,0.80186,0.89393,0.5977,2.56621,1.41836,2.53283,0.001703,0.001703,0.001703
17,1811.51,2.57965,1.3702,2.42125,0.91861,0.83218,0.91368,0.58085,2.64096,1.36454,2.47003,0.0016832,0.0016832,0.0016832
18,1915.86,2.54007,1.32397,2.42146,0.93228,0.85253,0.9209,0.60087,2.54105,1.29675,2.47238,0.0016634,0.0016634,0.0016634
19,2020.48,2.52885,1.3298,2.43617,0.93237,0.80473,0.90779,0.59463,2.58147,1.33278,2.48966,0.0016436,0.0016436,0.0016436
20,2124.72,2.58477,1.32357,2.45083,0.9192,0.82133,0.91038,0.58836,2.5304,1.32134,2.44219,0.0016238,0.0016238,0.0016238
21,2229.06,2.53332,1.27652,2.40818,0.92106,0.80654,0.89211,0.56873,2.64649,1.44809,2.53056,0.001604,0.001604,0.001604
22,2333.49,2.52046,1.26481,2.41715,0.94881,0.86329,0.93045,0.61462,2.48422,1.17894,2.40017,0.0015842,0.0015842,0.0015842
23,2437.94,2.4825,1.22295,2.3707,0.9185,0.83095,0.90061,0.58966,2.62149,1.32608,2.5181,0.0015644,0.0015644,0.0015644
24,2542.35,2.49982,1.2665,2.40107,0.93434,0.83062,0.91331,0.61091,2.53184,1.27114,2.49307,0.0015446,0.0015446,0.0015446
25,2646.67,2.48625,1.26594,2.38175,0.94416,0.85713,0.93657,0.63013,2.5007,1.18449,2.44254,0.0015248,0.0015248,0.0015248
26,2751.12,2.49316,1.22229,2.39408,0.91264,0.87711,0.93072,0.62006,2.42009,1.18193,2.36132,0.001505,0.001505,0.001505
27,2855.43,2.47081,1.25182,2.3967,0.96268,0.82642,0.93333,0.62866,2.48314,1.17282,2.39531,0.0014852,0.0014852,0.0014852
28,2959.82,2.39346,1.17147,2.34979,0.96642,0.84,0.93615,0.6281,2.46071,1.17249,2.38184,0.0014654,0.0014654,0.0014654
29,3064.09,2.47003,1.20142,2.3618,0.9182,0.87404,0.91646,0.57498,2.57777,1.31378,2.39492,0.0014456,0.0014456,0.0014456
